"Site Crawled","https://inc5shop.com/"
"Start Date","2026-07-23"
"Start Time","16:48:07"
"Last Modified Date","2026-07-23"
"Last Modified Time","16:51:09"
"Elapsed","00:03:01"
"Report Date","2026-07-23"
"Report Time","16:51:16"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"H1 Only in Rendered HTML","0","0.00%","41","Internal HTML pages with 2xx response"
"H1 Updated by JavaScript","0","0.00%","41","Internal HTML pages with 2xx response"
"Uses Old AJAX Crawling Scheme URLs","0","0.00%","41","Internal HTML pages with 2xx response"
"Uses Old AJAX Crawling Scheme Meta Fragment Tag","0","0.00%","41","Internal HTML pages with 2xx response"
"Pages with JavaScript Errors","0","0.00%","41","Internal HTML pages with 2xx response"
"Pages with JavaScript Warnings","0","0.00%","41","Internal HTML pages with 2xx response"
"Pages with Chrome Issues","0","0.00%","41","Internal HTML pages with 2xx response"
""
"Links"
"All","41","100.00%","41","Internal HTML pages with 2xx response"
"Pages With Uncrawlable Internal Outlinks","0","0.00%","41","Internal HTML pages with 2xx response"
"Pages With High Crawl Depth","0","0.00%","41","Internal HTML pages with 2xx response"
"Pages Without Internal Outlinks","0","0.00%","41","Internal HTML pages with 2xx response"
"Internal Nofollow Outlinks","0","0.00%","41","Internal HTML pages with 2xx response"
"Internal Outlinks With No Anchor Text","25","60.98%","41","Internal HTML pages with 2xx response"
"Non-Descriptive Anchor Text In Internal Outlinks","0","0.00%","41","Internal HTML pages with 2xx response"
"Pages With High External Outlinks","41","100.00%","41","Internal HTML pages with 2xx response"
"Pages With High Internal Outlinks","0","0.00%","41","Internal HTML pages with 2xx response"
"Follow & Nofollow Internal Inlinks To Page","0","0.00%","41","Internal HTML pages with 2xx response"
"Internal Nofollow Inlinks Only","0","0.00%","41","Internal HTML pages with 2xx response"
"Outlinks To Localhost","0","0.00%","41","Internal HTML pages with 2xx response"
"Non-Indexable Page Inlinks Only","0","0.00%","41","Internal HTML pages with 2xx response"
""
"AMP"
"All","0","0.00%","0","Internal AMP URLs"
"Non-200 Response","0","0.00%","753","Internal HTML URLs"
"Missing Non-AMP Return Link","0","0.00%","0","Internal AMP URLs"
"Missing Canonical to Non-AMP","0","0.00%","0","Internal AMP URLs"
"Non-Indexable Canonical","0","0.00%","0","Internal AMP URLs"
"Indexable","0","0.00%","0","Internal AMP URLs"
"Non-Indexable","0","0.00%","0","Internal AMP URLs"
"Missing <html amp> Tag","0","0.00%","753","Internal HTML URLs"
"Missing/Invalid <!doctype html> Tag","0","0.00%","0","Internal AMP URLs"
"Missing <head> Tag","0","0.00%","0","Internal AMP URLs"
"Missing <body> Tag","0","0.00%","0","Internal AMP URLs"
"Missing Canonical","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid <meta charset> Tag","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid <meta viewport> Tag","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid AMP Script","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid AMP Boilerplate","0","0.00%","0","Internal AMP URLs"
"Contains Disallowed HTML","0","0.00%","0","Internal AMP URLs"
"Other Validation Errors","0","0.00%","0","Internal AMP URLs"
""
"Structured Data"
"All","41","100.00%","41","Internal HTML pages with 2xx response"
